"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Dominance","Original_User"
"7642",6,8,"23-11-2016 18:38","KARUNASHANKEROJ",112,NA,"Joydeep_911"
"7643",6,14,"23-11-2016 18:36","PMKejri",45,NA,"Atheist_Krishna"
"7644",6,18,"23-11-2016 18:34","snoovemehrotra",95,0,"Atheist_Krishna"
"7645",6,23,"23-11-2016 18:33","ihavnthandle",95,0,"Atheist_Krishna"
"7646",6,39,"23-11-2016 18:26","CineMaakiKasam",95,NA,"Atheist_Krishna"
"7647",6,57,"23-11-2016 18:23","twety_swety",95,0,"Atheist_Krishna"
"7648",6,88,"23-11-2016 18:12","Bhartiyalist",112,NA,"Joydeep_911"
"7649",6,90,"23-11-2016 18:11","ThumbaHasivu",95,NA,"Atheist_Krishna"
"7650",6,95,"23-11-2016 18:11","khan96faiz",132,0,"ashu3page"
"7651",6,98,"23-11-2016 18:10","Jayaram84296692",112,NA,"Joydeep_911"
"7652",6,108,"23-11-2016 18:09","mshivaram",95,0,"Atheist_Krishna"
"7653",6,113,"23-11-2016 18:08","enzacdesccom191",428,0,"CMOMaharashtra"
"7654",6,114,"23-11-2016 18:08","Sourabhprk",57,NA,"ShashiTharoor"
"7655",6,132,"23-11-2016 18:04","rathoreaja",105,0,"PIB_India"
"7656",6,150,"23-11-2016 18:02","Tinni_Aphrodite",71,NA,"ShashiTharoor"
"7657",6,166,"23-11-2016 17:59","mi_puneri",95,0,"Atheist_Krishna"
"7658",6,175,"23-11-2016 17:56","rbr6000",95,0,"Atheist_Krishna"
"7659",6,176,"23-11-2016 17:56","sainath_kits",95,0,"Atheist_Krishna"
"7660",6,184,"23-11-2016 17:55","CongressALL",57,NA,"ShashiTharoor"
"7661",6,189,"23-11-2016 17:54","Himansh29466255",57,NA,"ShashiTharoor"
"7662",6,191,"23-11-2016 17:54","Himansh29466255",71,NA,"ShashiTharoor"
"7663",6,196,"23-11-2016 17:53","beiing_tiger_",45,0,"Atheist_Krishna"
"7664",6,201,"23-11-2016 17:52","aapkaTejuBhaiya",95,NA,"Atheist_Krishna"
"7665",6,202,"23-11-2016 17:52","krutarth8495",45,0,"Atheist_Krishna"
"7666",6,207,"23-11-2016 17:51","Thy_SikANDER",45,NA,"Atheist_Krishna"
"7667",6,209,"23-11-2016 17:51","niksnirav",95,0,"Atheist_Krishna"
"7668",6,217,"23-11-2016 17:50","deedhinsaan",95,0,"Atheist_Krishna"
"7669",6,229,"23-11-2016 17:48","AbleArcher7",95,NA,"Atheist_Krishna"
"7670",6,230,"23-11-2016 17:47","sir_khujliwal",95,0,"Atheist_Krishna"
"7671",6,232,"23-11-2016 17:47","prembhatt0286",95,0,"Atheist_Krishna"
"7672",6,256,"23-11-2016 17:39","ParthPa07241800",95,NA,"Atheist_Krishna"
"7673",6,271,"23-11-2016 17:35","ankitvasta1",45,0,"Atheist_Krishna"
"7674",6,286,"23-11-2016 17:33","legenddhananjay",95,0,"Atheist_Krishna"
"7675",6,289,"23-11-2016 17:32","56perumal",112,1,"Joydeep_911"
"7676",6,290,"23-11-2016 17:32","itsmeAdii1221",95,NA,"Atheist_Krishna"
"7677",6,302,"23-11-2016 17:30","sanjayjoshi27",95,0,"Atheist_Krishna"
"7678",6,325,"23-11-2016 17:25","PikuKaushal",95,NA,"Atheist_Krishna"
"7679",6,326,"23-11-2016 17:25","tarunpall",95,0,"Atheist_Krishna"
"7680",6,332,"23-11-2016 17:24","itsmeAdii1221",45,NA,"Atheist_Krishna"
"7681",6,334,"23-11-2016 17:23","nansknight",95,0,"Atheist_Krishna"
"7682",6,338,"23-11-2016 17:23","Cricket_Holic",95,NA,"Atheist_Krishna"
"7683",6,339,"23-11-2016 17:23","abhijeetkum",95,0,"Atheist_Krishna"
"7684",6,342,"23-11-2016 17:22","prahladkr",95,0,"Atheist_Krishna"
"7685",6,351,"23-11-2016 17:20","berozgaarhoo",45,0,"Atheist_Krishna"
"7686",6,360,"23-11-2016 17:18","BJPJajuShyam",112,NA,"Joydeep_911"
"7687",6,364,"23-11-2016 17:17","iyengarhgv",95,0,"Atheist_Krishna"
"7688",6,371,"23-11-2016 17:17","ravikumar_8484",45,0,"Atheist_Krishna"
"7689",6,383,"23-11-2016 17:13","ravikumar_8484",95,0,"Atheist_Krishna"
"7690",6,386,"23-11-2016 17:13","JustKiddingYaar",95,NA,"Atheist_Krishna"
"7691",6,387,"23-11-2016 17:13","000mrs000",45,0,"Atheist_Krishna"
"7692",6,388,"23-11-2016 17:13","JsAp4",95,NA,"Atheist_Krishna"
"7693",6,398,"23-11-2016 17:11","nisarg_parikh",95,0,"Atheist_Krishna"
"7694",6,410,"23-11-2016 17:08","0786Sartaj",105,NA,"PIB_India"
"7695",6,418,"23-11-2016 17:07","dhruvalp3",95,0,"Atheist_Krishna"
"7696",6,420,"23-11-2016 17:06","zGovinda",112,NA,"Joydeep_911"
"7697",6,422,"23-11-2016 17:06","siddhartha_gab",112,0,"Joydeep_911"
"7698",6,438,"23-11-2016 17:03","anando_dutta",95,0,"Atheist_Krishna"
"7699",6,442,"23-11-2016 17:02","virajjk",95,0,"Atheist_Krishna"
"7700",6,444,"23-11-2016 17:01","ranga_swamy",95,0,"Atheist_Krishna"
"7701",6,455,"23-11-2016 16:59","Bawri_chori",95,NA,"Atheist_Krishna"
"7702",6,462,"23-11-2016 16:58","puriyash41",71,0,"ShashiTharoor"
"7703",6,464,"23-11-2016 16:58","husnaziauddin",71,0,"ShashiTharoor"
"7704",6,475,"23-11-2016 16:55","ugramveeram123",45,0,"Atheist_Krishna"
"7705",6,480,"23-11-2016 16:54","vikas_sillycon",95,0,"Atheist_Krishna"
"7706",6,484,"23-11-2016 16:53","8Dilip",95,NA,"Atheist_Krishna"
"7707",6,491,"23-11-2016 16:51","MP_IYC",71,NA,"ShashiTharoor"
"7708",6,501,"23-11-2016 16:50","KachhuaaChhaap",95,NA,"Atheist_Krishna"
"7709",6,504,"23-11-2016 16:49","saminsane",95,0,"Atheist_Krishna"
"7710",6,512,"23-11-2016 16:48","naresh0052",95,0,"Atheist_Krishna"
"7711",6,515,"23-11-2016 16:48","Be_ManuSya",95,NA,"Atheist_Krishna"
"7712",6,516,"23-11-2016 16:48","ViewsSpade",95,NA,"Atheist_Krishna"
"7713",6,518,"23-11-2016 16:48","kadavasach1",71,0,"ShashiTharoor"
"7714",6,524,"23-11-2016 16:46","subramanyajois",95,0,"Atheist_Krishna"
"7715",6,525,"23-11-2016 16:46","Control_Uday",45,NA,"Atheist_Krishna"
"7716",6,528,"23-11-2016 16:45","cleviic",71,1.08345712039033,"ShashiTharoor"
"7717",6,532,"23-11-2016 16:44","AtulCfo",95,NA,"Atheist_Krishna"
"7718",6,541,"23-11-2016 16:42","hanamantaasangi",95,0,"Atheist_Krishna"
"7719",6,545,"23-11-2016 16:41","am_ujjwal",95,0,"Atheist_Krishna"
"7720",6,550,"23-11-2016 16:41","BenjwalAnuj",95,NA,"Atheist_Krishna"
"7721",6,551,"23-11-2016 16:41","prashantm52",95,0,"Atheist_Krishna"
"7722",6,553,"23-11-2016 16:40","modicure",95,0,"Atheist_Krishna"
"7723",6,554,"23-11-2016 16:40","SarcasticSadhu",95,NA,"Atheist_Krishna"
"7724",6,557,"23-11-2016 16:39","pradeep3940",45,0,"Atheist_Krishna"
"7725",6,559,"23-11-2016 16:39","TripathyAnkur87",71,NA,"ShashiTharoor"
"7726",6,571,"23-11-2016 16:37","harsh_nagpal",45,0,"Atheist_Krishna"
"7727",6,573,"23-11-2016 16:37","abhashkumarbhoi",95,0,"Atheist_Krishna"
"7728",6,593,"23-11-2016 16:34","moodybansal",95,0,"Atheist_Krishna"
"7729",6,614,"23-11-2016 16:32","Chaitanya_cj7",95,NA,"Atheist_Krishna"
"7730",6,617,"23-11-2016 16:31","prashan20943955",95,0,"Atheist_Krishna"
"7731",6,624,"23-11-2016 16:30","amitdch",95,0,"Atheist_Krishna"
"7732",6,626,"23-11-2016 16:29","Shettyshashank5",95,NA,"Atheist_Krishna"
"7733",6,628,"23-11-2016 16:29","Ridhima0107",95,NA,"Atheist_Krishna"
"7734",6,632,"23-11-2016 16:28","mohitjakhariya",95,0,"Atheist_Krishna"
"7735",6,633,"23-11-2016 16:28","Sandy_Ag",95,NA,"Atheist_Krishna"
"7736",6,640,"23-11-2016 16:26","athreyaster",95,0,"Atheist_Krishna"
"7737",6,641,"23-11-2016 16:26","devsr84",95,0,"Atheist_Krishna"
"7738",6,642,"23-11-2016 16:26","ChweeneyTodd",95,NA,"Atheist_Krishna"
"7739",6,643,"23-11-2016 16:25","aditya9972",95,0,"Atheist_Krishna"
"7740",6,646,"23-11-2016 16:25","n2r3ndr2",95,0,"Atheist_Krishna"
"7741",6,647,"23-11-2016 16:25","imsanjay_21",95,0,"Atheist_Krishna"
"7742",6,648,"23-11-2016 16:24","payalbhayana",95,0,"Atheist_Krishna"
"7743",6,650,"23-11-2016 16:24","n2r3ndr2",45,0,"Atheist_Krishna"
"7744",6,652,"23-11-2016 16:24","muditkh",95,0,"Atheist_Krishna"
"7745",6,653,"23-11-2016 16:24","mrkotians",95,0,"Atheist_Krishna"
"7746",6,660,"23-11-2016 16:23","kuldpvys",95,0,"Atheist_Krishna"
"7747",6,674,"23-11-2016 16:20","apnaDK",95,NA,"Atheist_Krishna"
"7748",6,675,"23-11-2016 16:20","VineyPandey",95,NA,"Atheist_Krishna"
"7749",6,676,"23-11-2016 16:20","Woh_ladka",95,NA,"Atheist_Krishna"
"7750",6,680,"23-11-2016 16:18","_prejudiced",95,0,"Atheist_Krishna"
"7751",6,685,"23-11-2016 16:18","unknownpagal",95,0,"Atheist_Krishna"
"7752",6,688,"23-11-2016 16:16","SureshM46",112,NA,"Joydeep_911"
"7753",6,691,"23-11-2016 16:16","keerthinarayan8",95,0,"Atheist_Krishna"
"7754",6,692,"23-11-2016 16:16","vaayu_putra",95,0,"Atheist_Krishna"
"7755",6,696,"23-11-2016 16:15","bhaisaabkoram",95,0,"Atheist_Krishna"
"7756",6,697,"23-11-2016 16:15","yIndia_05",95,NA,"Atheist_Krishna"
"7757",6,700,"23-11-2016 16:14","snjy_rajguru",95,0,"Atheist_Krishna"
"7758",6,701,"23-11-2016 16:14","IamAsk_Avinash",95,NA,"Atheist_Krishna"
"7759",6,704,"23-11-2016 16:14","Sri_Newton",95,NA,"Atheist_Krishna"
"7760",6,707,"23-11-2016 16:13","shashishekhard",95,0,"Atheist_Krishna"
"7761",6,708,"23-11-2016 16:13","dineshlakhanpa1",95,0,"Atheist_Krishna"
"7762",6,716,"23-11-2016 16:12","shewalevitthal",95,0,"Atheist_Krishna"
"7763",6,719,"23-11-2016 16:12","iT_keeda",95,NA,"Atheist_Krishna"
"7764",6,721,"23-11-2016 16:12","baruahrana123",95,0,"Atheist_Krishna"
"7765",6,724,"23-11-2016 16:12","twiish_",95,0,"Atheist_Krishna"
"7766",6,726,"23-11-2016 16:12","banjobawra",95,0,"Atheist_Krishna"
"7767",6,727,"23-11-2016 16:12","NkBlr",95,NA,"Atheist_Krishna"
"7768",6,728,"23-11-2016 16:11","Prashant1056",95,NA,"Atheist_Krishna"
"7769",6,730,"23-11-2016 16:11","Atheist_Krishna",95,6.03770711915335,"Atheist_Krishna"
"7770",6,754,"23-11-2016 16:07","Bist6Govind",45,NA,"Atheist_Krishna"
"7771",6,758,"23-11-2016 16:07","SharanRakesh",112,NA,"Joydeep_911"
"7772",6,767,"23-11-2016 16:05","vikas1689",112,0,"Joydeep_911"
"7773",6,780,"23-11-2016 16:02","Raghavrathi15",45,NA,"Atheist_Krishna"
"7774",6,788,"23-11-2016 16:01","CMPFOIndia",105,NA,"PIB_India"
"7775",6,804,"23-11-2016 15:58","sK199209",105,NA,"PIB_India"
"7776",6,813,"23-11-2016 15:57","Just4India",112,NA,"Joydeep_911"
"7777",6,832,"23-11-2016 15:53","rahul124816",112,0,"Joydeep_911"
"7778",6,860,"23-11-2016 15:47","BhandariAdit",45,NA,"Atheist_Krishna"
"7779",6,876,"23-11-2016 15:44","shobhitjiet",45,0,"Atheist_Krishna"
"7780",6,886,"23-11-2016 15:42","outthinker83",45,0,"Atheist_Krishna"
"7781",6,889,"23-11-2016 15:40","skywalker8901",45,0,"Atheist_Krishna"
"7782",6,902,"23-11-2016 15:37","RightArmOver_",45,NA,"Atheist_Krishna"
"7783",6,916,"23-11-2016 15:34","hanamantaasangi",45,0,"Atheist_Krishna"
"7784",6,922,"23-11-2016 15:33","naik_raish",45,0,"Atheist_Krishna"
"7785",6,927,"23-11-2016 15:33","not_that_techie",45,0,"Atheist_Krishna"
"7786",6,928,"23-11-2016 15:32","RockingMulga",45,NA,"Atheist_Krishna"
"7787",6,956,"23-11-2016 15:29","iOmkumar",45,NA,"Atheist_Krishna"
"7788",6,977,"23-11-2016 15:24","cmpdil",105,0,"PIB_India"
"7789",6,978,"23-11-2016 15:24","ramanpran",45,0,"Atheist_Krishna"
"7790",6,979,"23-11-2016 15:24","sabnis_atmaram",24,0,"1Patelzuber"
"7791",6,983,"23-11-2016 15:23","sainath_kits",45,0,"Atheist_Krishna"
"7792",6,986,"23-11-2016 15:22","thrills_cheap",45,0,"Atheist_Krishna"
"7793",6,992,"23-11-2016 15:20","hitler_baba",45,0,"Atheist_Krishna"
"7794",6,996,"23-11-2016 15:18","saahilrathi21",45,0,"Atheist_Krishna"
"7795",6,999,"23-11-2016 15:18","NotRajnikant",45,NA,"Atheist_Krishna"
"7796",6,1008,"23-11-2016 15:16","subh851",112,0,"Joydeep_911"
"7797",6,1014,"23-11-2016 15:14","CoffeePenCamera",45,NA,"Atheist_Krishna"
"7798",6,1015,"23-11-2016 15:13","AdvancedMaushi",45,NA,"Atheist_Krishna"
"7799",6,1018,"23-11-2016 15:12","KejuBlackmailer",45,NA,"Atheist_Krishna"
"7800",6,1024,"23-11-2016 15:11","Tigervaishnav",45,NA,"Atheist_Krishna"
"7801",6,1025,"23-11-2016 15:11","bhubana_nanda",45,0,"Atheist_Krishna"
"7802",6,1027,"23-11-2016 15:10","harrygoswami95",45,0,"Atheist_Krishna"
"7803",6,1034,"23-11-2016 15:09","Champ_Nikk",45,NA,"Atheist_Krishna"
"7804",6,1039,"23-11-2016 15:08","RAHULKANDWAR",132,NA,"ashu3page"
"7805",6,1043,"23-11-2016 15:08","vanshnarayan",45,0,"Atheist_Krishna"
"7806",6,1046,"23-11-2016 15:07","IamGauravkake",45,NA,"Atheist_Krishna"
"7807",6,1065,"23-11-2016 15:02","wicked_asr",45,0,"Atheist_Krishna"
"7808",6,1069,"23-11-2016 15:01","UmadeviUmeein",45,NA,"Atheist_Krishna"
"7809",6,1125,"23-11-2016 14:49","KameahwarYadav",112,NA,"Joydeep_911"
"7810",6,1129,"23-11-2016 14:47","vmohan53",1,0,"saxenask352"
"7811",6,1156,"23-11-2016 14:40","me_sourish",112,0,"Joydeep_911"
"7812",6,1263,"23-11-2016 14:14","bengaleebabu",112,0,"Joydeep_911"
"7813",6,1274,"23-11-2016 14:11","NZSuresh",112,NA,"Joydeep_911"
"7814",6,1276,"23-11-2016 14:11","RealWorld_View",112,NA,"Joydeep_911"
"7815",6,1282,"23-11-2016 14:10","OldSunil",112,NA,"Joydeep_911"
"7816",6,1305,"23-11-2016 14:05","NiteShRajwade19",71,NA,"ShashiTharoor"
"7817",6,1340,"23-11-2016 13:59","Sir_Kattappa",112,NA,"Joydeep_911"
"7818",6,1369,"23-11-2016 13:51","kundanpathakk",112,0,"Joydeep_911"
"7819",6,1386,"23-11-2016 13:46","Suhana41",112,NA,"Joydeep_911"
"7820",6,1450,"23-11-2016 13:36","proudindian1972",112,0,"Joydeep_911"
"7821",6,1456,"23-11-2016 13:35","SusantaKar3",112,NA,"Joydeep_911"
"7822",6,1460,"23-11-2016 13:34","BansaNirmal",112,NA,"Joydeep_911"
"7823",6,1482,"23-11-2016 13:28","sampadscales",112,0,"Joydeep_911"
"7824",6,1492,"23-11-2016 13:26","devyanidilli",112,1.63853202970749,"Joydeep_911"
"7825",6,1509,"23-11-2016 13:23","kumarbambam",112,0,"Joydeep_911"
"7826",6,1522,"23-11-2016 13:19","Truth_Viewer",112,NA,"Joydeep_911"
"7827",6,1526,"23-11-2016 13:18","NazarethNirmal",71,NA,"ShashiTharoor"
"7828",6,1549,"23-11-2016 13:11","gandhirashmi81",112,0,"Joydeep_911"
"7829",6,1550,"23-11-2016 13:11","sudhiritu",112,0,"Joydeep_911"
"7830",6,1551,"23-11-2016 13:11","KantaDhal",132,NA,"ashu3page"
"7831",6,1560,"23-11-2016 13:09","DewasiSatpal",71,NA,"ShashiTharoor"
"7832",6,1592,"23-11-2016 13:00","BardhmanLYC",132,NA,"ashu3page"
"7833",6,1603,"23-11-2016 12:58","AvijitC39882444",112,NA,"Joydeep_911"
"7834",6,1653,"23-11-2016 12:42","Tweetmeatayush",71,NA,"ShashiTharoor"
"7835",6,1664,"23-11-2016 12:39","sunbrowneye1984",112,0,"Joydeep_911"
"7836",6,1673,"23-11-2016 12:36","sanjida_iqbal",71,0,"ShashiTharoor"
"7837",6,1722,"23-11-2016 12:24","jignesh_butani",112,0,"Joydeep_911"
"7838",6,1733,"23-11-2016 12:19","dm80185dinnu",71,0,"ShashiTharoor"
"7839",6,1739,"23-11-2016 12:18","sunny4AAP",132,NA,"ashu3page"
"7840",6,1741,"23-11-2016 12:18","KunalChoudhary_",71,NA,"ShashiTharoor"
"7841",6,1752,"23-11-2016 12:16","AkhandAryabrat",112,NA,"Joydeep_911"
"7842",6,1766,"23-11-2016 12:13","shailendrat",112,0,"Joydeep_911"
"7843",6,1778,"23-11-2016 12:11","cohelporg",88,1,"MIB_India"
"7844",6,1851,"23-11-2016 11:55","priyabr54880988",71,0,"ShashiTharoor"
"7845",6,1889,"23-11-2016 11:49","PaulStansilas",71,NA,"ShashiTharoor"
"7846",6,1890,"23-11-2016 11:49","drhareeshkrishn",71,0,"ShashiTharoor"
"7847",6,1892,"23-11-2016 11:49","amar129438",71,0,"ShashiTharoor"
"7848",6,1895,"23-11-2016 11:48","b_richardn",71,0,"ShashiTharoor"
"7849",6,1896,"23-11-2016 11:48","TS_SinghDeo",71,0.133566024300068,"ShashiTharoor"
"7850",6,1897,"23-11-2016 11:47","Shivam_INC",71,NA,"ShashiTharoor"
"7851",6,1934,"23-11-2016 11:43","DebDip00",112,NA,"Joydeep_911"
"7852",6,1943,"23-11-2016 11:40","TolerantDesii",112,NA,"Joydeep_911"
"7853",6,1949,"23-11-2016 11:39","nyra186646811",112,0,"Joydeep_911"
"7854",6,1953,"23-11-2016 11:38","Vsrikanth85",57,NA,"ShashiTharoor"
"7855",6,1957,"23-11-2016 11:37","SukhiiM",57,NA,"ShashiTharoor"
"7856",6,1963,"23-11-2016 11:36","buntybhan",112,0,"Joydeep_911"
"7857",6,1971,"23-11-2016 11:34","provanjan999",112,0,"Joydeep_911"
"7858",6,1972,"23-11-2016 11:34","VEEKAYES",112,NA,"Joydeep_911"
"7859",6,1976,"23-11-2016 11:33","newsanti",112,0,"Joydeep_911"
"7860",6,1986,"23-11-2016 11:32","ravianand_gaur",71,0,"ShashiTharoor"
"7861",6,1988,"23-11-2016 11:32","dipualone",112,0,"Joydeep_911"
"7862",6,1993,"23-11-2016 11:30","SashiSimhan",71,NA,"ShashiTharoor"
"7863",6,1998,"23-11-2016 11:30","dhruvang_kp",105,0,"PIB_India"
"7864",6,1999,"23-11-2016 11:29","ShankerPutra",112,NA,"Joydeep_911"
"7865",6,2002,"23-11-2016 11:29","HinduRajyam",112,NA,"Joydeep_911"
"7866",6,2006,"23-11-2016 11:28","Inshal07",71,1.89587973461403,"ShashiTharoor"
"7867",6,2027,"23-11-2016 11:24","amohit17",57,0,"ShashiTharoor"
"7868",6,2039,"23-11-2016 11:21","animesh1804",57,0,"ShashiTharoor"
"7869",6,2044,"23-11-2016 11:21","VedicPurush",57,NA,"ShashiTharoor"
"7870",6,2045,"23-11-2016 11:20","Viloovan",112,NA,"Joydeep_911"
"7871",6,2048,"23-11-2016 11:20","calmgalin",57,0,"ShashiTharoor"
"7872",6,2049,"23-11-2016 11:20","calmgalin",71,0,"ShashiTharoor"
"7873",6,2065,"23-11-2016 11:16","Ggaurav1122",112,NA,"Joydeep_911"
"7874",6,2088,"23-11-2016 11:10","iDilsay",16,NA,"s_cartoons"
"7875",6,2089,"23-11-2016 11:10","vjshankar",0,0,"vjshankar"
"7876",6,2107,"23-11-2016 11:06","aslucs",71,0,"ShashiTharoor"
"7877",6,2108,"23-11-2016 11:06","irfantariq",1,0,"econofpak"
"7878",6,2112,"23-11-2016 11:05","kamrupexpress",57,0,"ShashiTharoor"
"7879",6,2116,"23-11-2016 11:04","KakaVishalji",112,NA,"Joydeep_911"
"7880",6,2119,"23-11-2016 11:04","econofpak",1,1,"econofpak"
"7881",6,2138,"23-11-2016 11:00","Harvansh_Batra",112,NA,"Joydeep_911"
"7882",6,2186,"23-11-2016 10:50","SickularLibtard",112,1.07361439728524,"Joydeep_911"
"7883",6,2204,"23-11-2016 10:47","AAOLion",112,NA,"Joydeep_911"
"7884",6,2209,"23-11-2016 10:45","IndiaBaapofpak",112,NA,"Joydeep_911"
"7885",6,2217,"23-11-2016 10:45","tshirtswala",112,0,"Joydeep_911"
"7886",6,2223,"23-11-2016 10:42","payel_das_",112,0,"Joydeep_911"
"7887",6,2232,"23-11-2016 10:38","nirbhaisingh07",112,0,"Joydeep_911"
"7888",6,2241,"23-11-2016 10:36","praveenbp21aug",105,0,"PIB_India"
"7889",6,2246,"23-11-2016 10:34","surajbhan02",88,0,"MIB_India"
"7890",6,2251,"23-11-2016 10:32","smita_muk",112,2.14536341484269,"Joydeep_911"
"7891",6,2252,"23-11-2016 10:32","delhiite_ggn",24,0,"1Patelzuber"
"7892",6,2260,"23-11-2016 10:30","PawanJRai",112,NA,"Joydeep_911"
"7893",6,2268,"23-11-2016 10:29","sachinparadkar",112,0,"Joydeep_911"
"7894",6,2310,"23-11-2016 10:19","eccentricraj",112,0,"Joydeep_911"
"7895",6,2312,"23-11-2016 10:18","cramas_ramasamy",112,0,"Joydeep_911"
"7896",6,2319,"23-11-2016 10:18","kkdhyd24",112,0,"Joydeep_911"
"7897",6,2350,"23-11-2016 10:15","DrRakeshkr082",112,NA,"Joydeep_911"
"7898",6,2356,"23-11-2016 10:14","Bikuengr",112,NA,"Joydeep_911"
