"","Flow_from_user","Flow_to_user","flow"
"140","arvind_69","iamsanumanna",1
"141","arvindsubraman","dhruvbhim",1
"142","aryaalok","jgopikrishnan70",-1
"143","aryaalok","olaprexa",-1
"144","ashahul","stausifr",0
"145","Ashish_1905","johntho49503509",0
"146","ashish0108sheth","vivekkapoor111",1
"147","ashishchaniara","MayurP2024",0
"148","ashok_baruah","sa_matthana",0
"149","ashokepandit","rakeshb71917365",0
"150","ashokism","ashokism",0
"151","ashokism","ashokism",0
"152","AshwinderRaj","daphinedndc",0
"153","ashwinmushran","mrsinghcricump",0
"154","asiannewsindia","suhana41",1
"155","AsiaSociety","yeonancyb",0
"156","asiatimesonline","hey_hey_mikey",0
"157","askdheeraj","indieanarch",1
"158","asraghunath","sourava88384237",0
"159","assassinsps","pdev070",0
"160","atlantesindia","AnchliaAnil",-1
"161","atlantesindia","Dhakad_VSL",-1
"162","atlantesindia","rachitmathur5",-1
"163","atlantesindia","shaggyno1",-1
"164","atlantesindia","SharmaKhemchand",-1
"165","atomtech_india","AbhishantPant",0
"166","atulkasbekar","k2ketkitara",0
"167","AUTOTODAYMAG","runsimrun",0
"168","avarakai","anuuragjain",1
"169","avarakai","tolerantdesii",1
"170","avd_kvp","sahilku65334183",0
"171","avi0074","dgogoi",0
"172","avinash_mailme","Abhishek3592",0
"173","avinash_mailme","MaheshJagga",-1
"174","aviralmittal","HarshBites",-1
"175","aviralmittal","MuzzammilAap",-1
"176","aviralmittal","temporary_handl",-1
"177","Awhadspeaks","daily_ncp",0
"178","ayushman_06","subodh_sarthi",0
"179","ayyappakumar10","Sethumadhavan",-1
"180","azazshaikhiyc","ameytirodkar",-1
"181","bainjal","jenixrino",1
"182","bala217","MagChennai",0
"183","balaindrajith","Chakolebaaz",0
"184","baldevkhokhar1","bishnoikuldeep",0
"185","BanGayaKutta","nisha_228",0
"186","banknomics","deepasidharth",0
"187","bansala_amit","trustingindia",1
"188","BaradaDs","shubhammarian",0
"189","barethia","raghuramrajang",0
"190","barua_ashish","dailyonion",0
"191","basasofficial","becca_savory",0
"192","basicincome","rBasicIncome",0
"193","BBSRBuzz","abhisek18",0
"194","bcasglobal","economistdk",0
"195","BeaLeydier","guindiaink",0
"196","becca_savory","basasofficial",0
"197","behindwoods","ragulram16",0
"198","Being_Humor","i_neerav",1
"199","BeingHindu","vipulit",1
"200","beingright","BeingRight",0
"201","BeingRight","beingright",0
"202","bengaleebabu","drshraddha16",0
"203","better_delhincr","better_delhincr",0
"204","better_delhincr","better_delhincr",0
"205","BhairaviAshar","integralunity",0
"206","BHANWARLALSUTH7","shyoranrakesh",0
"207","bharat_builder","A_Observr",-1
"208","bharat2004","Jal_Kukdi",-1
"209","bharat2004","TheOfficialSBI",0
"210","bhardwaj9649612","Divya_Agarwall",0
"211","Bhartiya_Invest","3tweetsis1poem",0
"212","bhavesh_khona","IB_India",0
"213","bhhaktti","ingujaratinfo",0
"214","bholipunjabn","penisgarlic",0
"215","bhootnath","rakeshb71917365",1
"216","bigsanturi","Himkunzum",-1
"217","bijonmehta","ottlegalrebels",1
"218","bijonmehta","technowornever",0
"219","bindaas_jhakaas","Retributions",-1
"220","bindaas_jhakaas","Suparna_Singh",-1
"221","BindasBolshy","gsramum",1
"222","bindiyamalhotr3","InfoAboutSunny",0
"223","bingchemtrails","jiggajones",0
"224","bishnoikuldeep","baldevkhokhar1",0
"225","bitchute","jwaddell58",0
"226","BJP_RSS","jsaditya",0
"227","bjpsamvad","bjpsamvad",0
"228","bjpsamvad","bjpsamvad",0
"229","bk_chudasama","odiBharosa",0
"230","blahfamous","OfficeChai",0
"231","blockchaininfos","alooftechnocrat",0
"232","blogadda","myscribblings",1
"233","BloombergQuint","journodebjit",0
"234","blue21sky","harvansh_batra",1
"235","BollypediaNews","nidhichugh06",0
"236","Bollywood_Stuff","shitalmanga",0
"237","bonddheeru","bonddheeru",0
"238","bonddheeru","bonddheeru",0
"239","bpp19571","iKunaal",0
"240","bpuand","NoSylviaPlath",-1
"241","bpuand","snehabanerg",0
"242","braveindianmax","deepaknegi23",-1
"243","Brewkenstein","rakeshupadhyay1",0
"244","brijwhiz","TalkOrTweets",0
"245","BRINKAsia","siripuramrk",0
"246","brumbyOz","imabhaygupta",1
"247","brushfiremind","rodie_ccw",0
"248","bruvpeace","RantsofIndia",0
"249","BsriksKatar","rajibde20712194",0
"250","bugs_punny","Anand_SolKnight",-1
"251","bugs_punny","databaazi",-1
"252","Busvine","dillichat",0
"253","bwdisrupt","pjain",0
"254","BwDisrupt","sangwan_sujata",0
"255","bykov_cheslav","n_gulshan",0
"256","c_assisi","rajadappa",0
"257","camishravikas","sanjivmishra4",0
"258","casantoshinsan","jaspals35305180",0
"259","CashlessChronic","dwijog",0
"260","CB_CII","sourishwithu",0
"261","ceo_of_my_life","VFSPL",0
"262","CGDev","dhruvbhim",1
"263","chagamkamalakar","sandipshettyyer",1
"264","chaitanyashree","DrJitendraSingh",0
"265","Chakolebaaz","balaindrajith",0
"266","chakshi_j7","mukunda1973",0
"267","champdev_","ChampDev_",-1
"268","ChampDev_","champdev_",1
"269","chanderst1","NKAYMe",0
"270","ChandrajitCM","srinjoymukherji",0
"271","chandreshd","pixiedixie721",0
"272","charujain171","GabbbarSingh",0
"273","chettri_prem","darjeelingtimes",0
"274","chichupedathaa","i_m_starboy",0
"275","ChickenBiryanii","suitablydumb",0
"276","ChilliFL","_desibuzz",0
"277","chinmaytrivedi","KaranArora",0
"278","chirag_nisha","RaoulGMI",0
"279","chiraghcherian","ramanbala7",0
"280","ChitrangBisht","deepakdv217",0
"281","Chopsyturvey","victoryvinoll",1
"282","choudharylaxmi","NSuMEeT1",0
"283","chriswilks1982","AlfredoMancuso",0
"284","chyprashant","Lovely_Sathish",0
"285","cioandleader","shubhlime",0
"286","CiscoBlogs","larialgenviller",0
"287","citizenspov","kanikacart",0
"288","cleviic","shanmugam_18",1
"289","clsmurali","MrMurali_M",0
"290","cohelporg","",-1
"291","cohelporg","cohelporg",0
"292","cohelporg","cohelporg",0
"293","coomarashish","kailashkaushik8",1
"294","coomarashish","subh851",1
"295","CryptKeeperBTT","phantompen",0
"296","CSISIndiaChair","anshumankhanna2",0
"297","ctrlaltdel007","urbantreehomes",0
"298","cubishopcom","tech_singapore",0
"299","Currency_crisis","everg3",1
"300","daily_ncp","Awhadspeaks",0
"301","dailyonion","barua_ashish",0
"302","danielsnchezrna","garybcohen",0
