"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Dominance","Original_User"
"11670",11,12,"23-11-2016 18:37","MonishGavand",120,NA,"Joydas"
"11671",11,59,"23-11-2016 18:22","InnovativeHindu",29,NA,"pGurus1"
"11672",11,65,"23-11-2016 18:21","Minoritygender",120,NA,"Joydas"
"11673",11,66,"23-11-2016 18:20","BsBaban",270,NA,"ModiBharosa"
"11674",11,96,"23-11-2016 18:11","nitinpoddar",275,0,"ModiBharosa"
"11675",11,140,"23-11-2016 18:03","rranjan733",270,0,"ModiBharosa"
"11676",11,236,"23-11-2016 17:45","Prasanna_Speaks",275,NA,"ModiBharosa"
"11677",11,248,"23-11-2016 17:41","ka979896",270,0,"ModiBharosa"
"11678",11,260,"23-11-2016 17:39","siddromi",0,0,"siddromi"
"11679",11,323,"23-11-2016 17:25","ssborkar",275,0,"ModiBharosa"
"11680",11,327,"23-11-2016 17:25","sohal_sunil",270,0,"ModiBharosa"
"11681",11,361,"23-11-2016 17:18","RANJANRAJIND",43,NA,"Ra_THORe"
"11682",11,377,"23-11-2016 17:15","abhee_agrawal",0,0,"abhee_agrawal"
"11683",11,391,"23-11-2016 17:13","anuraggarg11",120,0,"Joydas"
"11684",11,404,"23-11-2016 17:10","chauhananil23",275,0,"ModiBharosa"
"11685",11,429,"23-11-2016 17:05","nknairvm",0,0,"nknairvm"
"11686",11,463,"23-11-2016 16:58","rajeshk72672743",270,0,"ModiBharosa"
"11687",11,492,"23-11-2016 16:51","shitalmanga",1,0,"Bollywood_Stuff"
"11688",11,511,"23-11-2016 16:48","npatel12376",270,0,"ModiBharosa"
"11689",11,542,"23-11-2016 16:42","MODIfyingBHARAT",40,NA,"Ra_THORe"
"11690",11,546,"23-11-2016 16:41","MODIfyingBHARAT",43,NA,"Ra_THORe"
"11691",11,587,"23-11-2016 16:35","amolgadhave1989",375,0,"CMOMaharashtra"
"11692",11,590,"23-11-2016 16:35","amolgadhave1989",381,0,"CMOMaharashtra"
"11693",11,606,"23-11-2016 16:32","gauravdimri2601",270,0,"ModiBharosa"
"11694",11,607,"23-11-2016 16:32","gauravdimri2601",47,0,"ModiBharosa"
"11695",11,608,"23-11-2016 16:32","gauravdimri2601",275,0,"ModiBharosa"
"11696",11,661,"23-11-2016 16:22","mukesh99100616",0,0,"mukesh99100616"
"11697",11,765,"23-11-2016 16:05","parjak2008",270,0,"ModiBharosa"
"11698",11,772,"23-11-2016 16:04","Vel_Veer",270,NA,"ModiBharosa"
"11699",11,774,"23-11-2016 16:04","TenNewsDotIn",0,NA,"TenNewsDotIn"
"11700",11,775,"23-11-2016 16:04","ten_news_dot_in",0,0,"ten_news_dot_in"
"11701",11,785,"23-11-2016 16:01","gauravonnet",0,1,"gauravonnet"
"11702",11,797,"23-11-2016 15:59","sumanchhina",275,0,"ModiBharosa"
"11703",11,828,"23-11-2016 15:55","prakashbjp_",270,0,"ModiBharosa"
"11704",11,868,"23-11-2016 15:45","soni200411",43,0,"Ra_THORe"
"11705",11,877,"23-11-2016 15:44","VarshaThacker",29,NA,"pGurus1"
"11706",11,896,"23-11-2016 15:39","rrr23saini",894,0,"bhaiyyajispeaks"
"11707",11,923,"23-11-2016 15:33","manoj_k90",275,0,"ModiBharosa"
"11708",11,924,"23-11-2016 15:33","manoj_k90",270,0,"ModiBharosa"
"11709",11,941,"23-11-2016 15:31","avinash_mailme",120,0,"Joydas"
"11710",11,970,"23-11-2016 15:26","jagdishmitra00",275,0,"ModiBharosa"
"11711",11,1012,"23-11-2016 15:14","ind_52",275,0,"ModiBharosa"
"11712",11,1022,"23-11-2016 15:11","drzasiddiqui",120,0,"Joydas"
