username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sridhar984;2017-01-05 23:58;0;0;"#jallikattu https:// twitter.com/itisprashanth/ status/817058080693178370 …";;;#jallikattu;"817075295303979008";https://twitter.com/sridhar984/status/817075295303979008
Thamizhan_daw;2017-01-05 23:49;0;6;"@narendramodi Hi sir.. Plz save #jallikattu It is a #tradition of tamil nadu.. Plz save it sir... It's our request sir plz...";;@narendramodi;#jallikattu #tradition;"817072958736859137";https://twitter.com/Thamizhan_daw/status/817072958736859137
UpAndHighRaj;2017-01-05 23:47;0;0;"I dont undrstnd why opposing #Jallikattu makes one anti-Tamil & anti-culture.If one is a man & a Tamil, it's expected f him to supprt d game";;;#Jallikattu;"817072431873466372";https://twitter.com/UpAndHighRaj/status/817072431873466372
Imsathi14;2017-01-05 23:44;2;4;"#jallikattu #SaveJallikattu pic.twitter.com/sVcPuJMlwM";;;#jallikattu #SaveJallikattu;"817071912769568768";https://twitter.com/Imsathi14/status/817071912769568768
gillivignesh;2017-01-05 23:44;4;5;"#கொம்புவச்சசிங்கம்டா #jallikattu song coming soon ... From the music director @gvprakash #KombuVachaSingamda lyrics by @Arunrajakamaraj";;@gvprakash @Arunrajakamaraj;# #jallikattu #KombuVachaSingamda;"817071829085028352";https://twitter.com/gillivignesh/status/817071829085028352
singh_vignesh;2017-01-05 23:43;0;3;"#Tn needs #jallikattu";;;#Tn #jallikattu;"817071494220156928";https://twitter.com/singh_vignesh/status/817071494220156928
arultopher;2017-01-05 23:40;1;0;"#Jallikattu -PETAbans:Tomorrow some group will ask to ban HomeFoods, BC mom/dad-No Cooking Certificate, also kitchen is not certified by Gov";;;#Jallikattu;"817070772225085442";https://twitter.com/arultopher/status/817070772225085442
kabilchezhian;2017-01-05 23:32;1;2;"Gonna participate in the protest against jallikkattu ban on Jan 8. expecting a mass crowd.. time for a revolution .. #jallikattu #marina";;;#jallikattu #marina;"817068706073169920";https://twitter.com/kabilchezhian/status/817068706073169920
tamilhacks;2017-01-05 23:31;0;0;"Must watch and #support #jallikattu http:// fb.me/1sW9JG3ge";;;#support #jallikattu;"817068496764825600";https://twitter.com/tamilhacks/status/817068496764825600
iamkarthikvlr;2017-01-05 23:30;0;0;"@gvprakash appreciate that you started supporting #jallikattu . But our voice should be so strong. This is not enough bro.";;@gvprakash;#jallikattu;"817068233022840833";https://twitter.com/iamkarthikvlr/status/817068233022840833
Raina_Barani;2017-01-05 23:29;0;1;"Unga thoughts la #Jallikattu pathi nalu line sonna nalla irukum..Thanks for voice out...";;;#Jallikattu;"817068050457444352";https://twitter.com/Raina_Barani/status/817068050457444352
iamkarthikvlr;2017-01-05 23:28;0;0;"@TheSunainaa please raise your voice for #jallikattu . This is my humble request. Also request your friends and family to support #jallikattu";;@TheSunainaa;#jallikattu #jallikattu;"817067814569713664";https://twitter.com/iamkarthikvlr/status/817067814569713664
Unmai_Pithan;2017-01-05 23:28;0;0;"- Why no #Jallikattu action not taken .. Less than 10 days to go ??";;;#Jallikattu;"817067750342463488";https://twitter.com/Unmai_Pithan/status/817067750342463488
Unmai_Pithan;2017-01-05 23:28;0;0;"Remember no #Jallikattu .. No BJP in 2019 @drtamilisaibjp @PonnaarrBJP @AIADMKOfficial - What have you done?";;@drtamilisaibjp @PonnaarrBJP @AIADMKOfficial;#Jallikattu;"817067652615114753";https://twitter.com/Unmai_Pithan/status/817067652615114753
Sudha211312;2017-01-05 23:23;1;1;"We want #jallikattu pic.twitter.com/4frTFK9Zxl";;;#jallikattu;"817066575446573056";https://twitter.com/Sudha211312/status/817066575446573056
suchitpstpatel;2017-01-05 23:22;0;0;"Very happy to hear that #jallikattu is back a pride of TAMIL NADU #Tamilians";;;#jallikattu #Tamilians;"817066372224192512";https://twitter.com/suchitpstpatel/status/817066372224192512
ilayarajav;2017-01-05 23:19;0;0;"உங்க பாஷைல சொன்னா ..த்தா வாடா அதே எங்க பாஷைல சொன்னா பங்காளி/மாப்புள தொட்டுப் பிடிடா நம்மள! #jallikattu the #life #WeNeedJallikattu pic.twitter.com/OdegeA7gzj";;;#jallikattu #life #WeNeedJallikattu;"817065447283630080";https://twitter.com/ilayarajav/status/817065447283630080
Unmai_Pithan;2017-01-05 23:18;0;0;"if no #Jallikattu - #BoycottTheatres (Hit them-where it pains) common manku kandukatha media uvm kutaum eepudi varum parunga pic.twitter.com/xE1t3AKn0r";;;#Jallikattu #BoycottTheatres;"817065276063838208";https://twitter.com/Unmai_Pithan/status/817065276063838208
