"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"11669",10,14683,"12-04-2017 04:51","broadbandforum",0,"broadbandforum"
"11668",10,13588,"13-04-2017 14:52","hulkDcult",0,"hulkDcult"
"11667",10,13587,"13-04-2017 14:53","TimesGoogle",0,"TimesGoogle"
"11666",10,13560,"13-04-2017 15:36","gsailaja5",10,"gsailaja5"
"11665",10,13558,"13-04-2017 15:38","Tiwari_jii",10,"gsailaja5"
"11664",10,13556,"13-04-2017 15:42","Mungerilallan",10,"gsailaja5"
"11663",10,13544,"13-04-2017 15:55","Kataaksh74847",10,"gsailaja5"
"11662",10,13537,"13-04-2017 16:00","suniljha899",10,"gsailaja5"
"11661",10,13533,"13-04-2017 16:03","Lt_Anaya",10,"gsailaja5"
"11660",10,13527,"13-04-2017 16:15","Time_beingtaken",10,"gsailaja5"
"11659",10,13524,"13-04-2017 16:18","LangdaTyagi9",10,"gsailaja5"
"11658",10,13521,"13-04-2017 16:22","gsailaja5",10,"gsailaja5"
"11657",10,13519,"13-04-2017 16:23","rishika_jha",10,"gsailaja5"
"11656",10,13261,"14-04-2017 06:25","broadbandforum",0,"broadbandforum"
"11655",10,12827,"15-04-2017 03:51","broadbandforum",0,"broadbandforum"
"11654",10,11393,"16-04-2017 12:24","AskAnshul",75,"AskAnshul"
"11651",10,11389,"16-04-2017 12:25","v_bipan",75,"AskAnshul"
"11652",10,11390,"16-04-2017 12:25","rahulrastogi72",75,"AskAnshul"
"11653",10,11391,"16-04-2017 12:25","ajkrjha",75,"AskAnshul"
"11648",10,11385,"16-04-2017 12:26","prateek1013",75,"AskAnshul"
"11649",10,11386,"16-04-2017 12:26","Grumpy_Gandhi",75,"AskAnshul"
"11650",10,11387,"16-04-2017 12:26","kayeskay521",75,"AskAnshul"
"11646",10,11383,"16-04-2017 12:27","rajudrnair",75,"AskAnshul"
"11647",10,11384,"16-04-2017 12:27","mechyyogi",75,"AskAnshul"
"11645",10,11382,"16-04-2017 12:29","the_arm_chair",75,"AskAnshul"
"11643",10,11379,"16-04-2017 12:30","sanjogkawade",75,"AskAnshul"
"11644",10,11380,"16-04-2017 12:30","d_decepticons",75,"AskAnshul"
"11641",10,11377,"16-04-2017 12:31","rahul1521993",75,"AskAnshul"
"11642",10,11378,"16-04-2017 12:31","mgrntr",75,"AskAnshul"
"11638",10,11373,"16-04-2017 12:33","mannadeb171",75,"AskAnshul"
"11639",10,11374,"16-04-2017 12:33","Babuji9",75,"AskAnshul"
"11640",10,11376,"16-04-2017 12:33","AbiChengannur",75,"AskAnshul"
"11637",10,11372,"16-04-2017 12:34","Bhavadasnkm",75,"AskAnshul"
"11636",10,11370,"16-04-2017 12:35","raja1260",75,"AskAnshul"
"11635",10,11369,"16-04-2017 12:36","theckdas",75,"AskAnshul"
"11633",10,11366,"16-04-2017 12:37","manujsharan",75,"AskAnshul"
"11634",10,11367,"16-04-2017 12:37","dhruvbhim",75,"AskAnshul"
"11632",10,11363,"16-04-2017 12:40","iGautamDeori",75,"AskAnshul"
"11631",10,11360,"16-04-2017 12:42","vj2infotech",75,"AskAnshul"
