"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"553",2,14565,"12-04-2017 07:13","risknsui93",72,"ShashiTharoor"
"554",2,14566,"12-04-2017 07:13","ShashiTharoor",72,"ShashiTharoor"
"552",2,14564,"12-04-2017 07:14","KamalaSethy",72,"ShashiTharoor"
"550",2,14562,"12-04-2017 07:15","T_Buffff",72,"ShashiTharoor"
"551",2,14563,"12-04-2017 07:15","rahul_birohar",72,"ShashiTharoor"
"546",2,14555,"12-04-2017 07:16","azhar2ajju",72,"ShashiTharoor"
"547",2,14557,"12-04-2017 07:16","TharoorBhakt",72,"ShashiTharoor"
"548",2,14559,"12-04-2017 07:16","sisir_pradhan",72,"ShashiTharoor"
"549",2,14560,"12-04-2017 07:16","kurup62",72,"ShashiTharoor"
"544",2,14552,"12-04-2017 07:17","Inshal07",72,"ShashiTharoor"
"545",2,14553,"12-04-2017 07:17","Dheeraj8128",72,"ShashiTharoor"
"542",2,14549,"12-04-2017 07:18","risknsui93",5,"Inshal07"
"543",2,14550,"12-04-2017 07:18","Inshal07",5,"Inshal07"
"541",2,14546,"12-04-2017 07:19","thecontrarian01",72,"ShashiTharoor"
"539",2,14541,"12-04-2017 07:20","saharzaman",72,"ShashiTharoor"
"540",2,14542,"12-04-2017 07:20","samchristyv",72,"ShashiTharoor"
"537",2,14536,"12-04-2017 07:23","SHEKHRBHANKROTA",72,"ShashiTharoor"
"538",2,14537,"12-04-2017 07:23","RahulKajal3",72,"ShashiTharoor"
"536",2,14531,"12-04-2017 07:25","DrSanjeevRajp4",72,"ShashiTharoor"
"535",2,14526,"12-04-2017 07:29","shashank_rekala",5,"Inshal07"
"532",2,14522,"12-04-2017 07:31","princyhere",72,"ShashiTharoor"
"533",2,14524,"12-04-2017 07:31","itsbeingmad",72,"ShashiTharoor"
"534",2,14525,"12-04-2017 07:31","sanjida_iqbal",72,"ShashiTharoor"
"531",2,14516,"12-04-2017 07:36","REVIMSHAN",72,"ShashiTharoor"
"530",2,14513,"12-04-2017 07:42","shaswatcool",72,"ShashiTharoor"
"529",2,14507,"12-04-2017 07:51","KarmveerNSUI",72,"ShashiTharoor"
"527",2,14505,"12-04-2017 07:54","vj_devil007",72,"ShashiTharoor"
"528",2,14506,"12-04-2017 07:54","RufiNighat",72,"ShashiTharoor"
"526",2,14498,"12-04-2017 08:09","rambabumetta2",72,"ShashiTharoor"
"525",2,14496,"12-04-2017 08:12","firozborbhuyan",72,"ShashiTharoor"
"524",2,14485,"12-04-2017 08:29","VivekTivari",72,"ShashiTharoor"
"523",2,14477,"12-04-2017 08:34","himanshu3193",72,"ShashiTharoor"
"521",2,14475,"12-04-2017 08:36","SaveetaSawant",72,"ShashiTharoor"
"522",2,14476,"12-04-2017 08:36","jameelsjam",5,"Inshal07"
"520",2,14469,"12-04-2017 08:42","MonicaDubey",72,"ShashiTharoor"
"519",2,14464,"12-04-2017 08:52","TharoorINCian",72,"ShashiTharoor"
"518",2,14462,"12-04-2017 08:54","kaprathu",72,"ShashiTharoor"
"517",2,14458,"12-04-2017 09:03","jameelsjam",72,"ShashiTharoor"
"516",2,14457,"12-04-2017 09:04","12anjusri",72,"ShashiTharoor"
"515",2,14452,"12-04-2017 09:11","amit30980",5,"Inshal07"
"514",2,14450,"12-04-2017 09:15","ErKuju",72,"ShashiTharoor"
"513",2,14449,"12-04-2017 09:16","SimmiAhuja_",72,"ShashiTharoor"
"512",2,14445,"12-04-2017 09:22","27a41de2a89b454",72,"ShashiTharoor"
"511",2,14440,"12-04-2017 09:26","JayasreeVijayan",72,"ShashiTharoor"
"510",2,14439,"12-04-2017 09:27","mishraambrish06",72,"ShashiTharoor"
"509",2,14430,"12-04-2017 09:42","yeldhow",72,"ShashiTharoor"
"508",2,14428,"12-04-2017 09:48","rzk_ali",72,"ShashiTharoor"
"507",2,14423,"12-04-2017 10:01","omprakash1704",72,"ShashiTharoor"
"506",2,14414,"12-04-2017 10:24","rahulhpyc",72,"ShashiTharoor"
"505",2,14408,"12-04-2017 10:38","iamsmithaa",72,"ShashiTharoor"
"504",2,14404,"12-04-2017 10:45","anuraggarg11",72,"ShashiTharoor"
"503",2,14402,"12-04-2017 10:48","milindshah2006",72,"ShashiTharoor"
"502",2,14397,"12-04-2017 11:00","sarikathapa24",72,"ShashiTharoor"
"501",2,14395,"12-04-2017 11:03","Rameshs37405714",72,"ShashiTharoor"
"500",2,14390,"12-04-2017 11:21","jaipurcongress",72,"ShashiTharoor"
"499",2,14388,"12-04-2017 11:23","pjustinantony",72,"ShashiTharoor"
"498",2,14376,"12-04-2017 11:47","VIMALTV1987",72,"ShashiTharoor"
"497",2,14367,"12-04-2017 12:12","rajendra006",72,"ShashiTharoor"
"496",2,14354,"12-04-2017 12:34","amiteshdubey",72,"ShashiTharoor"
"495",2,14341,"12-04-2017 13:06","SinghiycKundan",72,"ShashiTharoor"
"494",2,14336,"12-04-2017 13:17","husnaziauddin",72,"ShashiTharoor"
"493",2,14329,"12-04-2017 13:23","NaveenKumarKN13",72,"ShashiTharoor"
"492",2,14321,"12-04-2017 13:29","amit30980",72,"ShashiTharoor"
"491",2,14242,"12-04-2017 15:28","SharikINC",72,"ShashiTharoor"
"490",2,14230,"12-04-2017 16:02","sid19952208",72,"ShashiTharoor"
"489",2,14181,"12-04-2017 16:16","c9feb8aefbaa42a",72,"ShashiTharoor"
"488",2,14179,"12-04-2017 16:17","SUBIN27989",72,"ShashiTharoor"
"487",2,14164,"12-04-2017 16:26","Shivam_INC",72,"ShashiTharoor"
"486",2,14145,"12-04-2017 16:49","MeWithRG",72,"ShashiTharoor"
"485",2,14116,"12-04-2017 17:46","shubhamamdhare",72,"ShashiTharoor"
"484",2,13847,"13-04-2017 06:01","aawara_aatma",72,"ShashiTharoor"
"483",2,13842,"13-04-2017 06:11","ZoherMalkapurw2",72,"ShashiTharoor"
"482",2,13838,"13-04-2017 06:16","HemantRitu7",72,"ShashiTharoor"
"481",2,13827,"13-04-2017 06:28","lalla_sharma",5,"Inshal07"
"480",2,13459,"13-04-2017 18:47","ArnabCoaching",72,"ShashiTharoor"
"479",2,13205,"14-04-2017 08:37","rajeevk1949",0,"rajeevk1949"
"477",2,12714,"15-04-2017 10:46","aakruthireddy",0,"aakruthireddy"
"478",2,12715,"15-04-2017 10:46","aakruthireddy",0,"aakruthireddy"
