"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"13560",13,7988,"22-11-2016 10:58","matram_vande",954,"DrKumarVishwas"
"13561",13,7991,"22-11-2016 10:58","akjainbittu",954,"DrKumarVishwas"
"13558",13,7981,"22-11-2016 10:59","alkesh_2042",954,"DrKumarVishwas"
"13559",13,7983,"22-11-2016 10:59","PokharkarUmesh",954,"DrKumarVishwas"
"13557",13,7970,"22-11-2016 11:01","rajeshmy",954,"DrKumarVishwas"
"13553",13,7956,"22-11-2016 11:02","adilbieber19751",954,"DrKumarVishwas"
"13554",13,7958,"22-11-2016 11:02","Im_Shamsh",954,"DrKumarVishwas"
"13555",13,7960,"22-11-2016 11:02","VinooHora",954,"DrKumarVishwas"
"13556",13,7962,"22-11-2016 11:02","shaktishekhar39",954,"DrKumarVishwas"
"13551",13,7952,"22-11-2016 11:03","mega_murali",954,"DrKumarVishwas"
"13552",13,7953,"22-11-2016 11:03","shashankvrma",954,"DrKumarVishwas"
"13550",13,7942,"22-11-2016 11:05","vkd_shafi",954,"DrKumarVishwas"
"13548",13,7921,"22-11-2016 11:08","abdul2711lateef",954,"DrKumarVishwas"
"13549",13,7923,"22-11-2016 11:08","ViligantVinay",954,"DrKumarVishwas"
"13546",13,7909,"22-11-2016 11:11","13Amit1313",954,"DrKumarVishwas"
"13547",13,7910,"22-11-2016 11:11","DrMSGoyal",954,"DrKumarVishwas"
"13545",13,7902,"22-11-2016 11:12","saraswatvikash",954,"DrKumarVishwas"
"13544",13,7899,"22-11-2016 11:13","sammypub123",954,"DrKumarVishwas"
"13543",13,7882,"22-11-2016 11:16","KhannaPal",954,"DrKumarVishwas"
"13541",13,7870,"22-11-2016 11:18","shivamshukla007",954,"DrKumarVishwas"
"13542",13,7872,"22-11-2016 11:18","pratikwasnik",954,"DrKumarVishwas"
"13540",13,7863,"22-11-2016 11:19","Sandeep35781325",954,"DrKumarVishwas"
"13538",13,7851,"22-11-2016 11:21","6c20cdd298174c7",954,"DrKumarVishwas"
"13539",13,7852,"22-11-2016 11:21","rashmi_moraskar",954,"DrKumarVishwas"
"13537",13,7839,"22-11-2016 11:24","Faller18",954,"DrKumarVishwas"
"13536",13,7826,"22-11-2016 11:26","balgobind1983",954,"DrKumarVishwas"
"13534",13,7817,"22-11-2016 11:29","goarizvi",954,"DrKumarVishwas"
"13535",13,7820,"22-11-2016 11:29","kanwarphalwan",954,"DrKumarVishwas"
"13533",13,7814,"22-11-2016 11:30","AyeshaFarhin1",954,"DrKumarVishwas"
"13532",13,7810,"22-11-2016 11:31","KrishanManmohan",954,"DrKumarVishwas"
"13531",13,7807,"22-11-2016 11:32","GSJha7",954,"DrKumarVishwas"
"13529",13,7796,"22-11-2016 11:34","subratchhatoi",954,"DrKumarVishwas"
"13530",13,7798,"22-11-2016 11:34","jnv_rider",954,"DrKumarVishwas"
"13528",13,7789,"22-11-2016 11:36","vipuldxt_2015",954,"DrKumarVishwas"
"13527",13,7779,"22-11-2016 11:38","mohit_hsgandhi",954,"DrKumarVishwas"
"13525",13,7769,"22-11-2016 11:39","VyasRicha",954,"DrKumarVishwas"
"13526",13,7771,"22-11-2016 11:39","DhruvSh26704610",954,"DrKumarVishwas"
"13524",13,7763,"22-11-2016 11:40","AngeloDias14",954,"DrKumarVishwas"
"13523",13,7759,"22-11-2016 11:41","RevanthReddyCh",954,"DrKumarVishwas"
"13522",13,7752,"22-11-2016 11:44","sociogk",954,"DrKumarVishwas"
"13521",13,7747,"22-11-2016 11:45","gopalsingh12782",954,"DrKumarVishwas"
"13520",13,7738,"22-11-2016 11:47","anuj___mishra",954,"DrKumarVishwas"
"13519",13,7733,"22-11-2016 11:48","BabuSaheb90",954,"DrKumarVishwas"
"13516",13,7728,"22-11-2016 11:49","Abdulsa75994842",954,"DrKumarVishwas"
"13517",13,7729,"22-11-2016 11:49","aapjnp",954,"DrKumarVishwas"
"13518",13,7730,"22-11-2016 11:49","taxindia",954,"DrKumarVishwas"
"13514",13,7722,"22-11-2016 11:50","clal1295",954,"DrKumarVishwas"
"13515",13,7724,"22-11-2016 11:50","IM_the_JAT",954,"DrKumarVishwas"
"13513",13,7716,"22-11-2016 11:51","ModiLeDubega",954,"DrKumarVishwas"
"13512",13,7705,"22-11-2016 11:52","trollcube",954,"DrKumarVishwas"
"13511",13,7697,"22-11-2016 11:53","rizwan24181",954,"DrKumarVishwas"
"13508",13,7678,"22-11-2016 11:56","nishimohapatra",954,"DrKumarVishwas"
"13509",13,7684,"22-11-2016 11:56","PeeyushBhiwani",954,"DrKumarVishwas"
"13510",13,7685,"22-11-2016 11:56","vdhiman_89",954,"DrKumarVishwas"
"13507",13,7675,"22-11-2016 11:58","zakiakhter",954,"DrKumarVishwas"
"13506",13,7664,"22-11-2016 11:59","manishvaranasi",954,"DrKumarVishwas"
"13505",13,7650,"22-11-2016 12:00","KarenONeill4",954,"DrKumarVishwas"
"13503",13,7632,"22-11-2016 12:01","Pankaj_itc",954,"DrKumarVishwas"
"13504",13,7638,"22-11-2016 12:01","Drswapnil97",954,"DrKumarVishwas"
