"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"14892",15,14935,"11-04-2017 14:36","SukhvinderShahi",12,"Vidyut"
"14891",15,14933,"11-04-2017 14:52","JustinSandefur",27,"JustinSandefur"
"14890",15,14905,"11-04-2017 17:28","ln_anderson",2,"JPAL_Global"
"14889",15,14876,"11-04-2017 22:32","yaroslavs5kop",6,"Accion"
"14888",15,14839,"12-04-2017 00:27","razznyc",0,"razznyc"
"14887",15,14812,"12-04-2017 01:41","TCS",6,"TCS"
"14886",15,14808,"12-04-2017 01:44","palumbo_lucio",6,"TCS"
"14885",15,14784,"12-04-2017 02:13","mituamin",0,"mituamin"
"14884",15,14777,"12-04-2017 02:30","analyseasia",1,"analyseasia"
"14883",15,14762,"12-04-2017 03:00","analyseasia",1,"analyseasia"
"14882",15,14733,"12-04-2017 03:33","navkendar_IDC",1,"analyseasia"
"14881",15,14710,"12-04-2017 04:03","RoboAdviso",0,"RoboAdviso"
"14880",15,14707,"12-04-2017 04:07","KanchenjungaEve",0,"KanchenjungaEve"
"14879",15,14692,"12-04-2017 04:30","VadiaShradha",6,"TCS"
"14878",15,14660,"12-04-2017 05:26","360Steel",0,"360Steel"
"14877",15,14654,"12-04-2017 05:35","marghospitality",1,"marghospitality"
"14876",15,14628,"12-04-2017 06:14","mituamin",0,"mituamin"
"14875",15,14597,"12-04-2017 06:33","arjunknair",1,"marghospitality"
"14874",15,14578,"12-04-2017 06:58","ListlyIndia",0,"ListlyIndia"
"14873",15,14548,"12-04-2017 07:18","preethi50632948",0,"preethi50632948"
"14871",15,14540,"12-04-2017 07:20","saharzaman",0,"saharzaman"
"14872",15,14543,"12-04-2017 07:20","preethi50632948",0,"preethi50632948"
"14870",15,14538,"12-04-2017 07:21","preethi50632948",0,"preethi50632948"
"14869",15,14535,"12-04-2017 07:24","younews_in",0,"younews_in"
"14868",15,14533,"12-04-2017 07:25","4mlvodka",1,"4mlvodka"
"14867",15,14514,"12-04-2017 07:42","N1rajKumar",1,"4mlvodka"
"14866",15,14511,"12-04-2017 07:44","leeee1511",133,"rsprasad"
