"","Cluster_no","Tweet_ID","Created","User_name","Retweet_count","Original_User"
"6854",4,14939,"11-04-2017 14:13","Stupidosaur",2,"Stupidosaur"
"6855",4,14940,"11-04-2017 14:13","Stupidosaur",2,"Stupidosaur"
"6852",4,14937,"11-04-2017 14:19","JusteyAlex",0,"JusteyAlex"
"6853",4,14938,"11-04-2017 14:19","pavan_sethi",30,"bharat_builder"
"6851",4,14934,"11-04-2017 14:40","Reaganite8",0,"Reaganite8"
"6850",4,14932,"11-04-2017 15:35","Saquibanwargift",30,"bharat_builder"
"6849",4,14926,"11-04-2017 16:05","Mridul_Sharma1",0,"Mridul_Sharma1"
"6848",4,14918,"11-04-2017 16:30","KamalRaju",30,"bharat_builder"
"6847",4,14917,"11-04-2017 16:36","RadioTodd13",0,"RadioTodd13"
"6846",4,14915,"11-04-2017 16:42","sandykishan123",71,"hindustanse"
"6845",4,14910,"11-04-2017 17:05","SpencerKarter",1,"SpencerKarter"
"6844",4,14904,"11-04-2017 17:39","pononline",0,"pononline"
"6843",4,14900,"11-04-2017 18:17","rohithshetty",64,"geetv79"
"6842",4,14898,"11-04-2017 18:20","sachin_iilm",64,"geetv79"
"6841",4,14897,"11-04-2017 18:29","cumnbuk",0,"cumnbuk"
"6840",4,14895,"11-04-2017 18:46","grameenk",0,"grameenk"
"6839",4,14893,"11-04-2017 19:23","Scimitar_SS",2,"Stupidosaur"
"6838",4,14891,"11-04-2017 20:01","khan96faiz",64,"geetv79"
"6837",4,14890,"11-04-2017 20:02","Corruptionns",11,"smarket"
"6836",4,14887,"11-04-2017 21:02","zappa2001",0,"zappa2001"
"6835",4,14885,"11-04-2017 21:03","zappa2001",0,"zappa2001"
"6833",4,14870,"12-04-2017 00:01","DollyRayDigital",124,"ATEKAssetScan"
"6834",4,14871,"12-04-2017 00:01","DollyRayDigital",126,"YarmolukDan"
"6831",4,14868,"12-04-2017 00:03","Maeva__Davis",124,"ATEKAssetScan"
"6832",4,14869,"12-04-2017 00:03","Alexia_Lavoie",126,"YarmolukDan"
"6830",4,14867,"12-04-2017 00:04","Perezreed5",126,"YarmolukDan"
"6826",4,14862,"12-04-2017 00:07","VivienGertsch",124,"ATEKAssetScan"
"6827",4,14864,"12-04-2017 00:07","SMM_Lisa",124,"ATEKAssetScan"
"6828",4,14865,"12-04-2017 00:07","John_____Brown",126,"YarmolukDan"
