"","cl_num","tweet","sentiment","dist","freq"
"193",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Step 1 to earn A¸æçì†º https:tcoF7AnpluyL2",0,17.8778886673274,1
"99",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers Americans take note of GOP perform¸æçì†º https:tcodwWHLm3jJs",0,17.9393100771083,1
"194",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Still reeling S¸æçì†º https:tco6GL5GziAoC",0,18.1413757477652,1
"147",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers And GOP response¸æçì†º https:tcoXoaVkA5KBB",0,18.176330070574,1
"112",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers Gotta admit GOP fight dirty 4 wat¸æçì†º https:tcoqjdmjGuHVs",-1,18.2694160048136,1
"206",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers What happened 2¸æçì†º https:tco4Rqxiq0Lbx",0,18.6562334897166,1
"245",1,"RT @ReneeB_75: #ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers No thank GOP EC TrumpAmericans 3rd<ed><U00A0><U00BC><ed><U00BE><U0089> nonvot¸æçì†º",1,18.6987410014556,1
"187",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Remember who vot¸æçì†º https:tcoO5du5ThTxK",0,18.7324705872756,1
"190",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers same go 4 opposi¸æçì†º https:tcoi2YvmhRS6N",0,18.7873491630568,1
"106",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP is this ur New Republic Your g¸æçì†º https:tco0DqcxF1iYY",0,18.9810809200581,1
"125",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers Sad when you dont know the differ¸æçì†º https:tco6mTs8M6UOw",-1,18.9904520581458,1
"103",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP dead 2 AmericaS pain! Ignoring comments<ed><U00A0><U00BD><ed><U00B8><U00B3>",-2,19.0140547517169,1
"186",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Prep 4 battle G¸æçì†º https:tco4SM5ucNHF8",0,19.1634518074079,1
"244",1,"RT @ReneeB_75: #ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers How does America recover from what he &amp; GOP¸æçì†º",1,19.1767759971257,1
"153",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Especially durin¸æçì†º https:tco1PHaPxFoxK",0,19.3098847179205,1
"123",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers Overwhelm him w facts Then what O¸æçì†º https:tcoHMbckKTGni",-1,19.3140413930062,1
"132",1,"#ImWithHer #WeRise #WomensMarch  #AMJOY #TheResistance #PeopleOath #DMVFollowers What is new about this Hes bee¸æçì†º https:tcoe2160uYmEa",0,19.3351310457967,1
"169",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers How much money w¸æçì†º https:tcoRQUfl3ubha",0,19.3805057507788,1
"161",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP enjoy next y¸æçì†º https:tcoNgtJUldU6R",1,19.4068924490006,1
"146",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Always has been¸æçì†º https:tcoXzUsKiV6Av",0,19.4419347271827,1
"148",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Careful He is r¸æçì†º https:tcoyslz7EyCIU",0,19.511237144561,1
"226",1,"#ImWithHer #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP WOW! How do you wal¸æçì†º https:tcoVQlfoADJUG",1,19.6965301597966,1
"128",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers TrumpAmericans dangerous precedence¸æçì†º https:tco1hrj3bWX7g",-1,19.8308894771384,1
"121",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers No thank GOP EC TrumpAmericans 3rd¸æçì†º https:tcoWI6IgJjVk2",1,19.8534128411032,1
"154",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers EXACTLY! Transla¸æçì†º https:tco71OKXcxZpU",0,19.9830436649032,1
"110",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP voting against DeVos safe in districts Yes I m cynical",0,19.9965175583485,1
"179",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Make way 4 voter¸æçì†º https:tcoHoCgRVgs05",0,20.0092459191726,1
"156",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Good 4 them Nex¸æçì†º https:tcoRRpoESuIWi",1,20.0187997180706,1
"157",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Good for them G¸æçì†º https:tcoBHcERAZ7aC",1,20.0187997180706,1
"210",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Woke Yet<ed><U00A0><U00BD><ed><U00B2><U00AF><ed><U00A0><U00BC><ed><U00B7><U00BA><ed><U00A0><U00BC><ed><U00B7><U00B8> https:tcoaCF7bn1q1W",0,20.0413396657488,1
"175",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Is this part of¸æçì†º https:tcoiRsNdQ7fIW",0,20.1882922168392,1
"213",1,"#ImWithHer #WeRise #WomensMarch #TheResistance #PeopleOath #DMVFollowers GOP going gangsta against female Sen spea¸æçì†º https:tcoCL9yBIRtK9",0,20.1953010927745,1
"183",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Oh my goodness!¸æçì†º https:tco53WAyOHMFX",1,20.199964558746,1
"211",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Wonder why she w¸æçì†º https:tcou0evcqUn8b",1,20.2485616430845,1
"173",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Insidious hate s¸æçì†º https:tcoepn7FPIlaB",-2,20.3332545435712,1
"172",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers In GOP Trump pre¸æçì†º https:tcoNvoIgYmsGt",1,20.4628430848214,1
"184",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers Pence cast decid¸æçì†º https:tcowjQM5qFU5W",0,20.5039930333739,1
"135",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers When facts smother fire of false rh¸æçì†º https:tconX7RcymBBa",-2,20.559822530523,1
"224",1,"#ImWithHer #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers America u know wat 2 do¸æçì†º https:tcoCKClf1SlkT",0,20.7434040078444,1
"127",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers This election expose Democracys w¸æçì†º https:tcotorVMZZDMr",0,20.8289049249898,1
"104",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers GOP enjoying dictatorship &amp; destro¸æçì†º https:tcoAeNBYGpjnv",1,21.08384042192,1
"143",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers 2018 BlueCard Co¸æçì†º https:tcoMm5CyJVkj9",0,21.2588932402417,1
"129",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers What GOP Bannon &amp; Trump wanted Di¸æçì†º https:tco5N2TiP7Iw0",1,21.4225388029259,1
"202",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers We the people! https:tcoEDV2wdkOiR",0,21.4354127079693,1
"133",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers What rule democratically GOP putti¸æçì†º https:tcooaZXqWcq3s",0,21.4916361832843,1
"136",1,"#ImWithHer #WeRise #WomensMarch #AMJOY #TheResistance #PeopleOath #DMVFollowers Who has GOP by the stones This is¸æçì†º https:tcoMaIBEHXJxR",0,21.4916361832843,1
"168",1,"#ImWithHer #WeRise #WomensMarch #NastyWomanVote  #AMJOY #TheResistance #PeopleOath #DMVFollowers He meant to DC! https:tcoZcP3cPis1W",0,21.5383454342818,1
