"Cluster_no","Tweet_ID"
1,2491
1,5631
1,6289
1,6860
1,7764
1,7909
1,7985
1,8008
1,8093
1,8134
1,8441
1,8494
1,9063
1,9130
1,9336
1,10412
1,10825
1,11074
1,11260
1,11545
1,11862
1,11892
1,11911
1,11914
1,11917
1,11919
1,12185
1,12625
1,12858
1,12955
1,12976
1,13039
1,13046
1,13052
1,13123
1,13128
1,13292
1,13296
1,13325
1,13359
1,13398
1,13437
1,13459
1,13534
1,13552
1,13727
1,13832
1,13867
1,13886
1,13928
1,13985
1,14001
1,14012
1,14020
1,14034
1,14042
1,14046
1,14052
1,14055
1,14062
1,14063
1,14064
1,14077
1,14089
1,14090
1,14091
1,14101
1,14140
1,14143
1,14147
1,14158
1,14159
1,14160
1,14163
1,14167
1,14170
1,14173
1,14176
1,14186
1,14190
1,14192
1,14193
1,14205
1,14207
1,14219
1,14221
1,14222
1,14223
1,14224
1,14228
1,14229
1,14230
1,14234
1,14241
1,14242
1,14252
1,14253
1,14254
1,14257
1,14259
1,14260
1,14262
1,14265
1,14266
1,14267
1,14268
1,14269
1,14270
1,14271
1,14273
1,14275
2,623
2,664
2,670
2,676
2,690
2,705
2,775
2,800
2,845
2,929
2,986
2,1152
2,1176
2,1213
2,1215
2,1217
2,1307
2,1332
2,1336
2,1354
2,1589
2,2291
2,2365
2,2441
2,2445
2,2712
2,2855
2,2877
2,2880
2,3003
2,3041
2,3142
2,3155
2,3178
2,3190
2,3194
2,3207
2,3233
2,3245
2,3248
2,3254
2,3258
2,3265
2,3274
2,3283
2,3284
2,3285
2,3290
2,3297
2,3299
2,3301
2,3307
2,3310
2,3311
2,3319
2,3326
2,3328
2,3334
2,3339
2,3344
2,3345
2,3348
2,3351
2,3352
2,3353
2,3355
2,3356
2,3366
2,3376
2,3378
2,3382
2,3385
2,3388
2,3390
2,3391
2,3393
2,3394
2,3395
2,3398
2,3399
2,3400
2,3401
2,3404
2,3406
2,3408
2,3409
2,3410
2,3411
2,3412
2,3413
2,3414
2,3415
2,3418
2,3438
2,3457
2,3471
2,3611
2,3777
2,3913
2,4897
2,4968
2,5595
2,6684
2,6689
2,7320
2,7325
2,7770
2,7807
2,7817
2,7818
2,7832
2,7834
2,7844
2,7847
2,7848
2,7855
2,7856
2,7857
2,7858
2,7859
2,7862
2,8150
2,8290
2,8295
2,9273
2,9477
2,9966
2,10257
2,10957
2,12563
2,12605
2,12670
2,13150
2,13622
2,13652
2,13664
2,13720
2,13790
2,13821
2,13943
2,14039
2,14047
2,14459
2,14860
2,14910
3,31
3,34
3,35
3,37
3,38
3,61
3,116
3,300
3,426
3,468
3,481
3,547
3,572
3,805
3,972
3,1265
3,1377
3,1401
3,1419
3,1536
3,1576
3,1611
3,1677
3,1721
3,1758
3,2055
3,2110
3,2242
3,2255
3,2451
3,2486
3,2488
3,2587
3,2662
3,2663
3,2665
3,2672
3,2673
3,2752
3,2770
3,2812
3,2881
3,2993
3,2998
3,3095
3,3104
3,3253
3,3256
3,3259
3,3261
3,3357
3,3358
3,3360
3,3593
3,3620
3,3621
3,3689
3,3753
3,4059
3,4086
3,4276
3,4282
3,4392
3,4540
3,4646
3,4671
3,4675
3,4676
3,4701
3,4815
3,4829
3,4871
3,4881
3,4912
3,4944
3,5228
3,5248
3,5364
3,5381
3,5385
3,5392
3,5403
3,5410
3,5435
3,5459
3,5468
3,5475
3,5520
3,5628
3,5703
3,5709
3,5712
3,5750
3,5790
3,5791
3,5799
3,5801
3,5803
3,5832
3,5846
3,5952
3,5953
3,5960
3,5973
3,5983
3,6008
3,6010
3,6025
3,6027
3,6028
3,6048
3,6081
3,6083
3,6092
3,6094
3,6095
3,6124
3,6133
3,6137
3,6155
3,6157
3,6167
3,6258
3,6286
3,6302
3,6318
3,6334
3,6338
3,6341
3,6354
3,6358
3,6361
3,6374
3,6386
3,6396
3,6402
3,6410
3,6426
3,6641
3,6644
3,6745
3,6762
3,6852
3,6882
3,6942
3,7109
3,7165
3,7166
3,7307
3,7507
3,7897
3,7898
3,7907
3,7915
3,7916
3,7917
3,7926
3,7927
3,7928
3,7929
3,7953
3,7954
3,7971
3,7978
3,8049
3,8113
3,8234
3,8258
3,8322
3,8398
3,8439
3,8495
3,8671
3,8673
3,8679
3,8709
3,8732
3,8861
3,9001
3,9002
3,9003
3,9052
3,9070
3,9105
3,9132
3,9143
3,9159
3,9161
3,9162
3,9225
3,9243
3,9280
3,9306
3,9348
3,9349
3,9350
3,9351
3,9353
3,9362
3,9365
3,9366
3,9394
3,9444
3,9493
3,9495
3,9526
3,9528
3,9571
3,9692
3,9776
3,9781
3,10022
3,10030
3,10163
3,10208
3,10211
3,10483
3,10505
3,10521
3,10565
3,10697
3,11141
3,11252
3,11622
3,11878
3,11921
3,12010
3,12060
3,12274
3,12390
3,12486
3,12577
3,12880
3,12927
3,13029
3,13059
3,13065
3,13079
3,13082
3,13105
3,13117
3,13134
3,13145
3,13171
3,13217
3,13291
3,13310
3,13335
3,13338
3,13350
3,13372
3,13373
3,13390
3,13402
3,13404
3,13406
3,13412
3,13749
3,13756
3,13812
3,13828
3,13839
3,13938
3,14035
3,14081
3,14082
3,14108
3,14110
3,14152
3,14166
3,14357
3,14372
3,14398
3,14479
3,14480
3,14481
3,14504
3,14505
3,14507
3,14552
3,14574
3,14584
3,14598
3,14625
3,14801
3,14805
3,14818
3,14823
3,14868
3,14871
3,14930
4,4
4,19
4,47
4,60
4,87
4,113
4,139
4,173
4,180
4,188
4,219
4,224
4,409
4,420
4,436
4,459
4,492
4,502
4,513
4,538
4,564
4,571
4,604
4,607
4,614
4,626
4,633
4,640
4,658
4,659
4,667
4,668
4,683
4,710
4,734
4,736
4,790
4,794
4,797
4,798
4,801
4,802
4,830
4,857
4,862
4,868
4,869
4,870
4,878
4,879
4,884
4,885
4,887
4,888
4,892
4,893
4,894
4,895
4,896
4,900
4,901
4,903
4,904
4,907
4,908
4,910
4,917
4,938
4,950
4,974
4,977
4,979
4,996
4,1014
4,1016
4,1019
4,1022
4,1026
4,1032
4,1035
4,1038
4,1040
4,1041
4,1045
4,1046
4,1050
4,1051
4,1052
4,1054
4,1055
4,1056
4,1058
4,1060
4,1062
4,1067
4,1069
4,1073
4,1075
4,1078
4,1079
4,1081
4,1082
4,1083
4,1084
4,1086
4,1087
4,1089
4,1090
4,1092
4,1093
4,1095
4,1096
4,1097
4,1099
4,1100
4,1101
4,1102
4,1103
4,1104
4,1106
4,1107
4,1109
4,1110
4,1112
4,1117
4,1119
4,1120
4,1121
4,1122
4,1124
4,1125
4,1127
4,1128
4,1129
4,1130
4,1131
4,1133
4,1134
4,1147
4,1207
4,1254
4,1353
4,1356
4,1357
4,1373
4,1379
4,1416
4,1425
4,1518
4,1577
4,1586
4,1624
4,1632
4,1634
4,1640
4,1703
4,1752
4,1838
4,1894
4,1938
4,1939
4,1940
4,1942
4,1961
4,1962
4,1964
4,1973
4,1978
4,1980
4,1981
4,1982
4,1987
4,1988
4,1989
4,1990
4,1995
4,1996
4,1997
4,2000
4,2002
4,2003
4,2005
4,2006
4,2007
4,2009
4,2011
4,2012
