"","retweeters","tweeters","edge_type","weight"
"4960","narendramodi","sintoossingh","Mention_edge",1
"4961","_prashantnair","sipkartonline","Mention_edge",1
"4962","c0nvey","sipkartonline","Mention_edge",1
"4963","MarcoWerman","siri_notsiri","Mention_edge",1
"4964","narendramodi","siri_notsiri","Mention_edge",1
"4965","pritheworld","siri_notsiri","Mention_edge",1
"4966","narendramodi","sixfaces1","Mention_edge",1
"4967","narendramodi","sjainsonia","Mention_edge",1
"4968","TheOfficialSBI","sjbupi","Mention_edge",1
"4969","DasShaktikanta","sk199209","Mention_edge",1
"4970","evanspiegel","skaditya16","Mention_edge",1
"4971","narendramodi","skandoham","Mention_edge",1
"4972","evanspiegel","skokare","Mention_edge",1
"4973","evanspiegel","sks_warrior","Mention_edge",1
"4974","evanspiegel","skswellwisher","Mention_edge",1
"4975","evanspiegel","slapstick_baba","Mention_edge",1
"4976","evanspiegel","sluvsshahrukh","Mention_edge",1
"4977","John_Miller_GLR","sm_influencer","Mention_edge",1
"4978","narendramodi","smartcityfeed","Mention_edge",1
"4979","evanspiegel","smhing_","Mention_edge",1
"4980","narendramodi","smilingshivani","Mention_edge",1
"4981","narendramodi","smitparikh93","Mention_edge",1
"4982","evanspiegel","smittiger","Mention_edge",1
"4983","naren…","smity732","Mention_edge",1
"4984","narendramodi","smnahar","Mention_edge",1
"4985","narendramodi","smnbabu","Mention_edge",1
"4986","PMOIndia","smsivanesan","Mention_edge",1
"4987","evanspiegel","snape_xx","Mention_edge",1
"4988","CNNnews18","snatansupremacy","Mention_edge",1
"4989","narendramodi","snchaudhary2","Mention_edge",1
"4990","BlumeVentures","snehabanerg","Mention_edge",1
"4991","DraperNetwork","snehabanerg","Mention_edge",1
"4992","EntrepreneurIND","snehabanerg","Mention_edge",2
"4993","evanspiegel","snehal2088","Mention_edge",1
"4994","evanspiegel","snehaletap","Mention_edge",1
"4995","Arsegun","snipernd","Mention_edge",1
"4996","sanjayuv…","snjykhtr","Mention_edge",1
"4997","evanspiegel","snobfather","Mention_edge",1
"4998","PMOIndia","snswaraj","Mention_edge",1
"4999","dominos_india","so87005","Mention_edge",1
"5000","minimathur","soami_s","Mention_edge",1
"5001","narendramodi","sobandevarajan","Mention_edge",2
"5002","AamAadmiParty","socialnews_xyz","Mention_edge",1
"5003","PMOIndia","socialrrajan","Mention_edge",1
"5004","narendramodi","sohal_sunil","Mention_edge",1
"5005","YouTube","som4gg","Mention_edge",1
"5006","sanjayuv…","somerohit","Mention_edge",1
"5007","PMOIndia","somesh_p11","Mention_edge",1
"5008","evanspiegel","somitra_baldua","Mention_edge",1
"5009","evanspiegel","somu_1988","Mention_edge",1
"5010","AdityaRajKaul…","somyahgupta","Mention_edge",1
"5011","dhanyarajendran","somyahgupta","Mention_edge",1
"5012","Iamtssudhir","somyahgupta","Mention_edge",1
"5013","nistula","somyahgupta","Mention_edge",1
"5014","sumanthraman","somyahgupta","Mention_edge",1
"5015","vasudha_ET","somyahgupta","Mention_edge",1
"5016","vijaita","somyahgupta","Mention_edge",1
"5017","mitalinikore","sonalijcampion","Mention_edge",1
"5018","evanspiegel","sonamgu83358808","Mention_edge",1
"5019","arunjaitley","soni200411","Mention_edge",1
"5020","narendramodi","soni200411","Mention_edge",1
"5021","P…","soni200411","Mention_edge",1
"5022","evanspiegel","sonicreation","Mention_edge",1
