"","retweeters","tweeters","edge_type","weight"
"10284","IMPL0RABLE","socalsharon","Tweet_edge",1
"10285","teknopol","social_mediagg","Tweet_edge",1
"10286","TrumpTerrorrist","socialchangeaus","Tweet_edge",1
"10287","yashar","socialcontrol","Tweet_edge",1
"10288","BellEarline","socialissuenews","Tweet_edge",1
"10289","Fisher_DanaR","sociologistray","Tweet_edge",1
"10290","IMPL0RABLE","sociopentothal","Tweet_edge",1
"10291","LuM1996","socmagmom","Tweet_edge",1
"10292","BadIdeasVs","socratic_hippie","Tweet_edge",1
"10293","womensmarch","sofianouri","Tweet_edge",1
"10294","RaquelWillis_","sofiaxrd","Tweet_edge",1
"10295","yashar","softiecurl","Tweet_edge",1
"10296","other98","softspot4u2","Tweet_edge",1
"10297","yashar","softwarmground","Tweet_edge",1
"10298","womensmarch","sohadtosayit","Tweet_edge",1
"10299","AmyMek","sohocharm","Tweet_edge",1
"10300","pip_news","sokitan","Tweet_edge",1
"10301","womensmarch","sokyboc","Tweet_edge",1
"10302","SolandrAmefricA","solandramefrica","Tweet_edge",1
"10303","womensmarch","solefalabella","Tweet_edge",1
"10304","funder","solidadvice1971","Tweet_edge",1
"10305","yashar","sollowaymichael","Tweet_edge",1
"10306","PopCrave","sollunna","Tweet_edge",1
"10307","diana_west_","solnagamen","Tweet_edge",1
"10308","GravityisRising","solutioneer72","Tweet_edge",1
"10309","bridgeinit","somadityaa","Tweet_edge",1
"10310","LeahR77","somasonato","Tweet_edge",1
"10311","SafiyaAlfaris","somelittlellama","Tweet_edge",1
"10312","womensmarch","sommanita","Tweet_edge",1
"10313","yashar","sona_c","Tweet_edge",1
"10314","AmyMek","sonal_31559","Tweet_edge",1
"10315","womensmarch","sondrapcmc","Tweet_edge",1
"10316","yashar","songthrushoncam","Tweet_edge",1
"10317","AmyMek","soniaerasmus","Tweet_edge",1
"10318","MarkALamprecht","soniaerasmus","Tweet_edge",1
"10319","MileyFontesCom","sonodistyles","Tweet_edge",1
"10320","AmyMek","sonparabailar","Tweet_edge",1
"10321","SC_Author","sonsoslaciana","Tweet_edge",1
"10322","LoveMeLuLu22","sonyabaker2","Tweet_edge",1
