"","retweeters","tweeters","edge_type","weight"
"9286","itscomedyVines","punjabibrain","Tweet_edge",1
"9287","WhiteHouse","punjabimodern1","Tweet_edge",2
"9288","ShLueck","punkrockbrina","Tweet_edge",1
"9289","joekeene","pupmastr","Tweet_edge",1
"9290","NiggaCommentary","pupochristian7","Tweet_edge",1
"9291","AltNatParkSer","puppymnkey","Tweet_edge",1
"9292","theClaudiaInez","puppymnkey","Tweet_edge",1
"9293","BarbMuenchen","puppywere","Tweet_edge",1
"9294","RepStevenSmith","purestar777","Tweet_edge",1
"9295","ThePatriot143","purestar777","Tweet_edge",1
"9296","AltNatParkSer","purlleslie","Tweet_edge",1
"9297","pnehlen","purpledalmation","Tweet_edge",1
"9298","joekeene","purse_vodka","Tweet_edge",1
"9299","AngryBlackLady","purtheil","Tweet_edge",1
"9300","ThePatriot143","push4contest","Tweet_edge",1
"9301","ThePatriot143","pussaluss123","Tweet_edge",1
"9302","trustnorminah","pvardel","Tweet_edge",1
"9303","voxdotcom","pvfqqcmitcdee9l","Tweet_edge",1
"9304","ThePatriot143","pw1331","Tweet_edge",1
"9305","trustnorminah","pwguwnrlu6b4p55","Tweet_edge",1
"9306","RepStevenSmith","pwilcox1","Tweet_edge",1
"9307","NkirukaNistoran","pwoinsmart","Tweet_edge",4
"9308","joekeene","pwpgarden","Tweet_edge",1
"9309","michelle_sagan","pyotrefimovxgb","Tweet_edge",1
"9310","razaqi950","pyotrse0xlt","Tweet_edge",1
"9311","dmon4ever","pyrrhophytes","Tweet_edge",1
"9312","StockBoardAsset","qamaludeen","Tweet_edge",1
"9313","JStammers1996","qbmkqodzpyt","Tweet_edge",1
"9314","lwatchtv","qihyuned","Tweet_edge",1
"9315","Bros4America","qkhvazdkb6p3zvw","Tweet_edge",1
"9316","JordanUhl","qlc1ma7ewxeizur","Tweet_edge",1
"9317","JahovasWitniss","qleforestier","Tweet_edge",1
"9318","Gizmodo","qlrm21idjkes8nz","Tweet_edge",1
"9319","TheSciBabe","qq6zwnxicme8xwy","Tweet_edge",1
"9320","DivDas22","qsso_","Tweet_edge",1
"9321","TheLinkTweet","qteepai","Tweet_edge",1
"9322","GrrrGraphics","qthecoc","Tweet_edge",1
"9323","mega_floyd","qtjiscpiwn5kbel","Tweet_edge",1
"9324","itscomedyVines","quabenadarkwah","Tweet_edge",1
"9325","joekeene","quadmother","Tweet_edge",1
"9326","AlexR_DC","quality1product","Tweet_edge",1
"9327","MatPatGT","quantumzcs","Tweet_edge",1
"9328","ThePatriot143","qubrat1s","Tweet_edge",1
"9329","ajplus","queenayan101","Tweet_edge",1
"9330","QueenBDivine","queenbdivine","Tweet_edge",1
"9331","ThePatriot143","queeniecity","Tweet_edge",1
"9332","AltNatParkSer","queenmaday","Tweet_edge",1
"9333","scandalaminute","queenmaday","Tweet_edge",1
"9334","drayzze","queennefertitty","Tweet_edge",1
"9335","iiLoveKARMA_","queenoffat666","Tweet_edge",1
"9336","joekeene","queenofmetrics","Tweet_edge",1
"9337","ThePatriot143","queentme","Tweet_edge",2
"9338","BridgetMarie","queerblckweirdo","Tweet_edge",1
"9339","JahovasWitniss","queergrlkahanis","Tweet_edge",1
"9340","ClimateReality","quicares","Tweet_edge",1
"9341","AngryBlackLady","quincygsd","Tweet_edge",1
"9342","RickyVaughn_II","quinlangordon","Tweet_edge",1
"9343","ThePatriot143","quinlangordon","Tweet_edge",1
"9344","TravelingUS","quinnpamala","Tweet_edge",1
"9345","ThePatriot143","quinnsapp","Tweet_edge",1
"9346","TEN_GOP","quiringj","Tweet_edge",1
"9347","ecastro977","quisutdeus7","Tweet_edge",1
"9348","VerneTroyer","quit_everything","Tweet_edge",1
"9349","ThePatriot143","quiziep8jazz101","Tweet_edge",1
"9350","joekeene","quntumentanglr","Tweet_edge",1
"9351","TheLinkTweet","quraisyahhh","Tweet_edge",1
"9352","GeraldoRivera","quvana","Tweet_edge",1
"9353","CDoranHarader","qwreggelsworth","Tweet_edge",1
"9354","pnehlen","r_altright","Tweet_edge",1
"9355","LaughingAtLefty","r_de_gerber","Tweet_edge",1
"9356","Charles_HRH","r_nedrow","Tweet_edge",1
"9357","sahouraxo","r13579ric","Tweet_edge",1
"9358","RepStevenSmith","r1965rainey","Tweet_edge",1
"9359","CDoranHarader","r1clayburn","Tweet_edge",1
"9360","aidan","r1qx0k2gjkbr24x","Tweet_edge",1
"9361","woodysrigging","r4lwyenfwam4vhc","Tweet_edge",1
"9362","FoxNews","r6x8ibomvl7gxex","Tweet_edge",1
"9363","The_Jonathanian","rabbi_tech","Tweet_edge",1
"9364","Charles_HRH","rabbitaway","Tweet_edge",1
"9365","FoxNews","rachael1776","Tweet_edge",1
"9366","pnehlen","racheka1","Tweet_edge",1
"9367","pnehlen","racheld48040847","Tweet_edge",1
"9368","pnehlen","rachelkingmakeu","Tweet_edge",1
"9369","WBCARadio","rachelmiselman","Tweet_edge",1
