,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
4747,CNN took a massive photo during President Trump's #inauguration speech #gigapixel https://t.co/UaB472vI1f,FALSE,0,NA,2017-02-05 15:16:43,FALSE,NA,828261076437443000,NA,Twitter Web Client,itsRDC,0,FALSE,FALSE,NA,NA
4748,"RT @kathy_hoffman: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/Y3OcwtZElS
@GOPL…",FALSE,0,NA,2017-02-05 15:16:40,FALSE,NA,828261064118776000,NA,Twitter for Android,Sammydawg2,1,TRUE,FALSE,NA,NA
4749,RT @donaldbroom: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews - https://t.co/nCV9ul…,FALSE,0,NA,2017-02-05 15:16:25,FALSE,NA,828261002282201000,NA,Twitter for Android,WorkerGirl3,57,TRUE,FALSE,NA,NA
4750,RT @pnehlen: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/6YLE7zM5b8,FALSE,0,NA,2017-02-05 15:16:23,FALSE,NA,828260992471671000,NA,Twitter for iPhone,TerryeP,938,TRUE,FALSE,NA,NA
4751,"RT @realDonaldTrump: Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",FALSE,0,NA,2017-02-05 15:15:48,FALSE,NA,828260847046767000,NA,Twitter for iPad,loveunderlaw,21249,TRUE,FALSE,NA,NA
4752,"RT @realDonaldTrump: Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",FALSE,0,NA,2017-02-05 15:13:54,FALSE,NA,828260364999655000,NA,Twitter for iPhone,maxger31,21249,TRUE,FALSE,NA,NA
4753,RT @Oasis00000: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,0,NA,2017-02-05 15:13:13,FALSE,NA,828260193037283000,NA,Twitter for iPad,Ekatherene,9,TRUE,FALSE,NA,NA
4754,RT @RepStevenSmith: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/wxQ4KJhEkl,FALSE,0,NA,2017-02-05 15:10:27,FALSE,NA,828259496959033000,NA,Twitter for iPhone,fierymom3,259,TRUE,FALSE,NA,NA
4755,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/un05r6t7IW,FALSE,0,NA,2017-02-05 15:09:38,FALSE,NA,828259294793568000,NA,Twitter Web Client,Dannycrosby5,0,FALSE,FALSE,NA,NA
4756,"RT @JahovasWitniss: Wait... what!?

#Inauguration https://t.co/zs8rx1MjMc",FALSE,0,NA,2017-02-05 15:09:03,FALSE,NA,828259148311777000,NA,Twitter for Android,elisa_dcls,89785,TRUE,FALSE,NA,NA
4757,"RT @AzDeplorable: Y'ALL, Order #Trump FREE T-Shirt at https://t.co/fTj6GSEfQp

#TrumpPresident #TrumpTrain 

#inauguration #Trump2016

Plea…",FALSE,0,NA,2017-02-05 15:08:55,FALSE,NA,828259111657730000,NA,Twitter Web Client,jasondiclement4,2,TRUE,FALSE,NA,NA
4758,"We want to talk to @realdonaldtrump before the #inauguration, #THESTREETZMORNINGTAKEOVER w/ @yungjoc @moquickatl",FALSE,0,NA,2017-02-05 15:07:25,FALSE,NA,828258737458729000,NA,SocialOomph,streetz945atl,0,FALSE,FALSE,NA,NA
4759,"RT @VanessaAranegui: Curious what else besides #inauguration, @realDonaldTrump may have exaggerated. So did couple side by side comparisons…",FALSE,0,NA,2017-02-05 15:07:09,FALSE,NA,828258668504347000,NA,Twitter for Android,AllyMbonde3,1,TRUE,FALSE,NA,NA
4760,RT @pnehlen: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/6YLE7zM5b8,FALSE,0,NA,2017-02-05 15:06:00,FALSE,NA,828258378975674000,NA,Twitter for iPad,WheatSuzanne,938,TRUE,FALSE,NA,NA
4761,"RT @FoxNews: .@robertjeffress: ""@realDonaldTrump's #inauguration has had the most prayers of any inauguration in history."" https://t.co/bCR…",FALSE,0,NA,2017-02-05 15:05:54,FALSE,NA,828258355865084000,NA,Twitter for iPhone,WandalclaMartin,566,TRUE,FALSE,NA,NA
4762,RT @ThePatriot143: POLL - Where would you rather live? #Inauguration,FALSE,0,NA,2017-02-05 15:05:51,FALSE,NA,828258340887105000,NA,Twitter for iPhone,kohsamuri,3184,TRUE,FALSE,NA,NA
4763,"RT @_Snape_: Harry Potter vs. Twilight

#Inauguration https://t.co/0rMzp6iaDA",FALSE,0,NA,2017-02-05 15:05:12,FALSE,NA,828258175690408000,NA,Twitter for iPhone,Capwelti,2906,TRUE,FALSE,NA,NA
4764,RT @Oasis00000: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC  https://t.co/IC7XsFM1cn,FALSE,0,NA,2017-02-05 15:05:11,FALSE,NA,828258171437347000,NA,Twitter Web Client,Owlie17,9,TRUE,FALSE,NA,NA
